format,mean_intra,std_intra,mean_inter,std_inter,ratio,mean_dev_from_f64,max_dev_from_f64,time_s
float64,0.3448400746503398,0.2769195666007732,0.414547531065879,0.2660728223216081,0.8318468904245833,0.0,0.0,1.0611903389999497
float32,0.34484007954597473,0.27691957354545593,0.4145475924015045,0.2660728096961975,0.8318467791557802,6.424261738385626e-08,7.253588112376974e-07,0.575761521000004
float16,0.3447265625,0.277099609375,0.41455078125,inf,0.8315665488810365,0.00018441090349901194,0.0016321378677042198,278.0338874849999
int8,0.3449139893054962,0.2768876552581787,0.4146142899990082,0.26603788137435913,0.8318912242661036,0.0003423054640404026,0.003453546365832172,0.5322464700002456
