format,mean_intra,std_intra,mean_inter,std_inter,ratio,mean_dev_from_f64,max_dev_from_f64,time_s,size_mb
float64,0.3448400746503398,0.2769195666007732,0.414547531065879,0.2660728223216081,0.8318468904245833,0.0,0.0,1.0611903389999497,44.925056
float32,0.3448400795459747,0.2769195735454559,0.4145475924015045,0.2660728096961975,0.8318467791557802,6.424261738385626e-08,7.253588112376974e-07,0.575761521000004,22.462592
float16,0.3447265625,0.277099609375,0.41455078125,inf,0.8315665488810365,0.000184410903499,0.0016321378677042,278.0338874849999,11.23136
int8,0.3449139893054962,0.2768876552581787,0.4146142899990082,0.2660378813743591,0.8318912242661036,0.0003423054640404,0.0034535463658321,0.5322464700002456,5.64512
